color/green/700	COLOR	#15803d
color/green/800	COLOR	#166534
color/green/900	COLOR	#14532d
color/green/950	COLOR	#052e16
color/purple/50	COLOR	#faf5ff
color/purple/100	COLOR	#f3e8ff
color/purple/200	COLOR	#e9d5ff
color/purple/300	COLOR	#d8b4fe
color/purple/400	COLOR	#c084fc
color/purple/500	COLOR	#a855f7
color/purple/600	COLOR	#9333ea
color/purple/700	COLOR	#7e22ce
color/purple/800	COLOR	#6b21a8
color/purple/900	COLOR	#581c87
color/purple/950	COLOR	#3b0764
color/gray/50	COLOR	#f9fafb
color/gray/100	COLOR	#f3f4f6
color/gray/200	COLOR	#e5e7eb
color/gray/300	COLOR	#d1d5db
color/gray/400	COLOR	#9ca3af
color/gray/500	COLOR	#6b7280
color/gray/600	COLOR	#4b5563
color/gray/700	COLOR	#374151
color/gray/800	COLOR	#1f2937
color/gray/900	COLOR	#111827
color/gray/950	COLOR	#030712
color/violet/100	COLOR	#ede9fe
color/violet/300	COLOR	#c4b5fd
color/violet/600	COLOR	#7c3aed
color/violet/700	COLOR	#6d28d9
color/white	COLOR	#ffffff
color/black	COLOR	#000000
